id,question,answer
1,What is one key aspect of ʿAqīdah (Belief) in Islam?,Belief in the oneness of Allah (Tawḥīd) is a central part of Islamic ʿAqīdah.
2,Which primary source discusses ʿAqīdah (Belief)?,The Qur'an is the foundational source that explains all elements of ʿAqīdah in Islam.
3,Give an example related to ʿAqīdah (Belief).,"An example of ʿAqīdah is belief in the angels, as emphasized in both Qur'an and Hadith."
6,Briefly define ʿAqīdah (Belief).,ʿAqīdah is the Islamic creed of essential beliefs such as faith in Allah and the Last Day.
9,Name a Quranic verse or hadith that addresses ʿAqīdah (Belief).,The Hadith of Jibrīl defines ʿAqīdah as belief in six pillars of faith.
10,List one benefit of understanding ʿAqīdah (Belief).,Understanding ʿAqīdah helps a Muslim remain steadfast in their beliefs.
15,State a ruling related to ʿAqīdah (Belief).,The Qur'an repeatedly calls believers to affirm their faith in Allah and the Hereafter.
20,Summarize the concept of ʿAqīdah (Belief).,It is obligatory for Muslims to uphold correct ʿAqīdah as part of their faith.
38,Why is ʿAqīdah (Belief) important to Muslims?,Correct ʿAqīdah is the first requirement for salvation in the Hereafter.
55,Provide a short explanation of ʿAqīdah (Belief).,Learning and teaching ʿAqīdah is a communal obligation in Islam.
101,What is one key aspect of Ḥajj (Pilgrimage)?,A key aspect of Ḥajj (Pilgrimage) is the.
102,Why is Duʿāʾ & Dhikr important to Muslims?,Duʿāʾ & Dhikr is important because it is mandated by Allah and shapes Muslim practice.
103,Briefly define Prophets & Messengers.,The term Prophets & Messengers refers to narratives of Allah's messengers.
104,Briefly define Islamic Calendar & Sacred Months.,The term Islamic Calendar & Sacred Months refers to the lunar calendar and its sanctified months.
106,What is one key aspect of Ibadāt (Worship)?,A key aspect of Ibadāt (Worship) is ritual.
107,Why is Islamic Finance & Halāl Earnings important to Muslims?,Islamic Finance & Halāl Earnings is important because it is mandated by Allah and shapes Muslim practice.
108,What is one key aspect of Sharīʿah & Fiqh?,A key aspect of Sharīʿah & Fiqh is divine.
109,Briefly define Islamic Inheritance (Mīrāth).,The term Islamic Inheritance (Mīrāth) refers to Qur'anic rules for distributing estates.
110,"Why is Angels, Jinn & Unseen Matters important to Muslims?","Angels, Jinn & Unseen Matters is important because it is mandated by Allah and shapes Muslim practice."
111,Give an example related to Tazkiyah / Tasawwuf.,"For example, observing tazkiyah / tasawwuf in daily life."
112,Give an example related to Islamic Festivals.,"For example, observing islamic festivals in daily life."
114,"Why is Hajj & ʿUmrah (Rites, Rules) important to Muslims?","Hajj & ʿUmrah (Rites, Rules) is important because it is mandated by Allah and shapes Muslim practice."
115,Why is Shahādah (Testimony of Faith) important to Muslims?,Shahādah (Testimony of Faith) is important because it is mandated by Allah and shapes Muslim practice.
116,Give an example related to Muʿāmalāt (Transactions).,"For example, observing muʿāmalāt (transactions) in daily life."
117,Why is Ḥajj (Pilgrimage) important to Muslims?,Ḥajj (Pilgrimage) is important because it is mandated by Allah and shapes Muslim practice.
118,"What is one key aspect of Angels, Jinn & Unseen Matters?","A key aspect of Angels, Jinn & Unseen Matters is belief."
